PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Test,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,ErrorCheck,SECCheck,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,DitchPitchNumber
233,2024-09-29,15:06:13,1,2,"Tookoian, Sam",702494,Right,OLE_REB,"Fawley, Austin",1000140327,Right,OLE_REB,Undefined,9,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,89.07384,4.766942,-0.259013,2182.676116,203.613525,12:45:00,6.3416,2.37715,5.97322,-16.45836,19.55442,7.98311,9.39973,2.80228,79.37951,1.570668,1.174693,0.431916,,,,,,,,,,,,-4.07209,8.69579,-2.3604,50,6.71025,0.21746,-128.63122,10.32286,-6.69359,31.38794,-17.88017,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20240929-OleMiss-Private-2,45df4f50-7e9e-11ef-a769-275f5e1cf003,87.26791,,,9.69433,,,,,,,caca66d2-c5b2-4d39-9c4d-3a26f0b66395,2024-09-29 0:00:00,20:06:13,2024-09-29T15:06:12.5034238-05:00,2024-09-29T20:06:12.5034238Z,,v3,5322,,,"Smithwick, Campbell",805802,Right,OLE_REB,052ebd0b-a088-4b8a-baff-c927f0898a92,54.51801,-129.729,15.69397,6.33827,10.94821,-8.94009,-2.3721,0.45156,-3.34679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
197,2024-10-04,16:04:57,4,2,"Johnson, Cooper",10110143,Left,OLE_REB,"Smithwick, Campbell",805802,Left,OLE_REB,Undefined,6,Bottom,2,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,0,73.83343,6.267391,1.04634,2444.361688,320.214124,4:45:00,6.42254,-2.84274,5.4501,-63.51968,-11.05709,10.51611,7.02141,-0.98668,67.39598,-5.27594,2.910695,0.52131,,,,,,,,,,,,-4.94725,-6.64036,2.74306,50,6.93456,-2.34962,-106.68892,9.6272,-5.72058,17.80042,-39.85241,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241004-OleMiss-Private-3,4f49ebf0-8294-11ef-a769-275f5e1cf003,72.30327,,,6.43745,,,,,,,ffaa2003-b49c-4626-a0b7-548634c24fab,2024-10-04 0:00:00,21:04:57,2024-10-04T16:04:57.1663558-05:00,2024-10-04T21:04:57.1663558Z,,v3,5322,,,"Reuter, Collin",801469,Right,OLE_PRA,5725c5b4-0a78-42c6-a695-8fc7d1ab0d72,55.05433,-107.5289,8.90021,6.43589,11.50778,-19.9262,2.84757,-2.07968,-2.86029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
151,2024-09-29,14:17:53,1,4,"Townsend, Cade",1000134889,Right,OLE_REB,"Humphrey, Isaac",804253,Left,OLE_REB,Undefined,6,Top,0,2,1,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,0,86.89048,3.722974,-2.39108,1439.027246,259.468649,2:45:00,5.86221,2.61343,5.48597,-34.33498,4.18071,14.70631,6.49211,1.60057,77.4402,-2.642656,0.222507,0.446674,,,,,,,,,,,,-8.05493,1.34083,-2.41336,50,6.16674,4.55899,-125.4978,6.91917,-12.5936,30.05448,-30.07774,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20240929-OleMiss-Private-2,859460b0-7e97-11ef-a769-275f5e1cf003,84.38474,,,9.45027,,,,,,,caca66d2-c5b2-4d39-9c4d-3a26f0b66395,2024-09-29 0:00:00,19:17:53,2024-09-29T14:17:52.8480510-05:00,2024-09-29T19:17:52.8480510Z,,v3,5322,,,"Smithwick, Campbell",805802,Right,OLE_REB,115da606-2cb6-463d-8aa1-4cf6b38d722c,55.00873,-126.69162,15.02724,5.86817,8.11391,-15.03887,-2.60439,5.05924,-6.2968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
138,2024-09-29,14:12:18,3,2,"Hancock, Owen",10123181,Right,OLE_REB,"Chisolm, Connor",10027054,Left,OLE_REB,Undefined,5,Bottom,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,94.08567,1.702421,1.367918,1718.595049,186.107823,12:15:00,6.32785,0.77431,5.78233,-23.34367,8.25146,0.78173,5.96743,2.11244,86.05963,-2.644514,1.507806,0.404559,,,,,,,,,,,,-0.0302,4.05449,-0.88762,50,6.45437,-3.2983,-136.60571,3.21547,-0.05731,28.94248,-24.48128,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20240929-OleMiss-Private-2,be024a30-7e96-11ef-a769-275f5e1cf003,93.16927,,,8.02604,,,,,,,caca66d2-c5b2-4d39-9c4d-3a26f0b66395,2024-09-29 0:00:00,19:12:18,2024-09-29T14:12:18.0713726-05:00,2024-09-29T19:12:18.0713726Z,,v3,5322,,,"Fawley, Austin",1000140327,Right,OLE_PRA,1c21329d-4dfb-455c-aae5-6e074a8fa926,54.71617,-137.60129,14.47124,6.32928,4.05759,-12.24064,-0.7742,-3.29633,-0.02866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
8,2024-10-07,16:36:51,2,3,"Hancock, Owen",10123181,Right,OLE_REB,"Moerman, Ryan",802466,Right,OLE_REB,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,94.92531,0.668943,0.509879,2267.477115,201.768596,12:45:00,6.3108,0.88258,6.03452,-12.77064,18.13505,6.8476,5.86608,1.92537,86.29069,-1.805898,1.74175,0.40012,,,,,,,,,,,,-3.32335,9.3767,-0.92569,50,6.35571,-1.54368,-137.85044,1.27693,-6.37681,31.45103,-14.18209,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241007-OleMiss-Private-1,440ddaa0-84f4-11ef-879b-db44870e558b,94.20277,,,8.63462,,,,,,,c8ac4622-671b-4d86-a192-1e1c0708e689,2024-10-07 0:00:00,21:36:51,2024-10-07T16:36:51.3630000-05:00,2024-10-07T21:36:51.3630000Z,,v3,5322,,,"Smithwick, Campbell",805802,Right,OLE_REB,f2e02cda-bdcd-45f6-8307-7b5f1e614d8c,54.46051,-138.86439,15.72552,6.30717,1.73414,-7.09104,-0.87923,-1.3381,-3.1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
196,2024-09-29,14:45:34,1,2,"Reigert, Jake",10156932,Right,OLE_REB,"Reuter, Collin",801469,Right,OLE_REB,Undefined,7,Bottom,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,0,82.33583,2.315926,0.830489,2121.647556,169.332477,11:45:00,5.73216,1.29389,5.99925,-26.94183,14.2882,-2.44228,5.63442,1.85999,74.77683,-2.764608,0.391643,0.462145,,,,,,,,,,,,1.47933,7.0641,-1.35801,50,5.89977,-1.63408,-119.44853,4.04655,2.13007,23.73378,-22.00244,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20240929-OleMiss-Private-2,63956320-7e9b-11ef-a769-275f5e1cf003,81.55976,,,7.559,,,,,,,caca66d2-c5b2-4d39-9c4d-3a26f0b66395,2024-09-29 0:00:00,19:45:34,2024-09-29T14:45:33.7967870-05:00,2024-09-29T19:45:33.7967870Z,,v3,5322,,,"Fawley, Austin",1000140327,Right,OLE_PRA,c029587a-4d6b-4009-86a3-29067673bf09,54.49732,-120.33881,11.86689,5.7325,4.87188,-11.00122,-1.29521,-1.71398,1.06503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
149,2024-10-04,15:42:57,3,3,"McCaughey, Stone",1000096949,Right,OLE_REB,"Paino, Owen",1000091610,Left,OLE_REB,Undefined,5,Bottom,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,0,92.57445,1.876725,-1.844205,2382.152083,240.315885,2:00:00,5.679,1.79905,6.18003,-22.158,10.13256,16.00072,5.56714,1.42876,84.27546,-2.302243,1.040769,0.408987,,,,,,,,,,,,-8.7326,5.01981,-1.66722,50,5.80963,3.6362,-134.43017,3.69129,-15.96049,29.47368,-22.9994,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241004-OleMiss-Private-3,3c0e1780-8291-11ef-a769-275f5e1cf003,92.16053,,,8.29899,,,,,,,ffaa2003-b49c-4626-a0b7-548634c24fab,2024-10-04 0:00:00,20:42:57,2024-10-04T15:42:56.5203142-05:00,2024-10-04T20:42:56.5203142Z,,v3,5322,,,"Reuter, Collin",801469,Right,OLE_PRA,cf2abcfd-0301-44a6-a162-81379d8a4827,54.31987,-135.37398,14.73684,5.67964,4.42778,-11.4997,-1.79184,4.1473,-7.98024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
202,2024-10-12,15:58:20,2,4,"Hancock, Owen",10123181,Right,OLE_REB,"Utermark, Judd",1000175519,Right,OLE_REB,Undefined,7,Top,0,1,2,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,0,79.54962,3.027996,1.642965,2321.574723,99.021387,9:15:00,6.22157,1.00412,5.73336,-42.07404,2.72921,-7.82918,5.53908,1.88216,72.12389,-4.752746,0.243829,0.481755,,,,,,,,,,,,4.46673,0.92217,-1.13618,50,6.44846,-3.00259,-115.28976,4.74297,5.96947,22.84621,-30.94162,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241012-OleMiss-Private-2,b67e06f0-88dc-11ef-b396-cff24b165299,78.23985,,,7.42573,,,,,,,d8227ef7-9cdf-4983-8308-957416eb4637,2024-10-12 0:00:00,20:58:20,2024-10-12T15:58:20.2922286-05:00,2024-10-12T20:58:20.2922286Z,,v3,5322,,,"Reuter, Collin",801469,Right,OLE_REB,fb24fcd4-1548-4c56-8be0-5988b3196f9c,54.76635,-116.23043,11.42311,6.22695,6.01697,-15.47081,-1.00749,-3.24838,2.98473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
24,2024-10-12,14:15:32,6,5,"Spencer, Connor",10009286,Right,OLE_REB,"Reuter, Collin",801469,Right,OLE_REB,Undefined,1,Bottom,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,0,94.8922,0.262621,-2.622269,2140.821465,173.58728,11:45:00,6.13575,1.38276,6.18774,-12.44296,18.64288,-1.97347,5.34159,-1.20465,85.52518,-2.17419,-2.977597,0.401285,,,,,,,,,,,,0.18295,9.83386,-1.18398,50,6.14897,6.39034,-137.58877,0.33078,0.34622,34.16888,-13.56421,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241012-OleMiss-Private-2,59b74c00-88ce-11ef-b396-cff24b165299,93.92941,,,9.36701,,,,,,,d8227ef7-9cdf-4983-8308-957416eb4637,2024-10-12 0:00:00,19:15:32,2024-10-12T14:15:31.6423982-05:00,2024-10-12T19:15:31.6423982Z,,v3,5322,,,"Fawley, Austin",1000140327,Right,OLE_PRA,c3b2111a-347a-405f-9b90-ee6994b988e9,54.30839,-138.65459,17.08444,6.13205,0.75389,-6.78211,-1.38315,6.37954,0.17311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
129,2024-10-12,15:09:23,4,4,"Elliott, Hunter",1000066425,Left,OLE_REB,"Moseley, Brett",1000196685,Left,OLE_REB,Undefined,4,Bottom,2,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,90.02018,1.512302,3.657452,2216.988204,139.603737,10:45:00,5.4229,-2.38423,6.01824,-18.23332,16.39895,-12.97245,5.3075,-0.07274,81.43146,-1.969875,1.331239,0.423557,,,,,,,,,,,,7.69745,8.29898,2.10396,50,5.53168,-7.77683,-130.42277,2.92339,13.17679,29.00845,-17.96755,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241012-OleMiss-Private-2,df99e0b0-88d5-11ef-b396-cff24b165299,88.99021,,,8.58872,,,,,,,d8227ef7-9cdf-4983-8308-957416eb4637,2024-10-12 0:00:00,20:09:23,2024-10-12T15:09:22.8392238-05:00,2024-10-12T20:09:22.8392238Z,,v3,5322,,,"Fawley, Austin",1000140327,Right,OLE_PRA,5d2d7abe-bd9c-4a60-916b-aabfd46b84ab,54.47984,-131.41539,14.50422,5.42113,3.53821,-8.98378,2.37779,-8.22772,6.5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
