playerId,playerFullName,PitchType,Count,CLASS+,Vel,iVB,HB,Spin,Ext,RelH,RelS,nHB,norm_RelS,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,group_mean,group_std
10279656,"Waters, Landon",FC,23,112.1,86.9,9.1,-0.2,2771.9,5.1,5.6,1.5,-0.2,1.5,92.1,17.2,8.4,-5.3,-8.1,-8.5,0.02043915445,0.0112930747,0.007585897596
1000165662,"Mattox, Hudson ",SL,2,109.8,82.8,5.5,0.9,2185.4,4.9,6.1,1.0,0.9,1.0,87.0,21.6,9.9,-4.2,-16.1,-9.1,0.01516490976,0.007413182025,0.007873758574
805783,"Nichols, Mason",CH,3,109.5,82.9,4.3,15.3,1655.7,5.6,6.1,1.4,15.3,1.4,92.9,16.6,7.6,-10.1,-12.3,7.7,0.01467703022,0.005730213941,0.009439826184
1000134889,"Townsend, Cade",CU,15,109.3,81.7,-18.4,-6.5,2645.8,5.6,6.1,1.7,-6.5,1.7,93.7,18.7,7.0,-12.0,-37.1,-13.5,0.01090052973,0.003888304697,0.007566709219
10110143,"Johnson, Cooper",CH,44,107.8,78.2,13.4,-12.9,1682.8,6.1,6.2,-2.5,12.9,2.5,86.8,19.2,9.2,-8.6,-5.9,3.6,0.01313331794,0.005730213941,0.009439826184
10279656,"Waters, Landon",SL,49,107.6,81.8,3.4,-13.9,2987.8,4.9,5.5,1.5,-13.9,1.5,92.1,17.2,8.4,-10.4,-13.8,-22.2,0.01335944978,0.007413182025,0.007873758574
10279656,"Waters, Landon",4S,98,107.5,92.1,17.2,8.4,2620.6,5.5,5.6,1.4,8.4,1.4,92.1,17.2,8.4,0.0,0.0,0.0,0.008343261743,0.002817387541,0.007336215724
1000090130,"Galle, Patrick",4S,58,106.9,95.9,16.5,6.6,2256.8,6.4,5.8,1.4,6.6,1.4,95.9,16.5,6.6,0.0,0.0,0.0,0.007881270109,0.002817387541,0.007336215724
1000119598,"Maddox, Riley",SI,14,106.9,91.9,6.4,18.8,2146.2,5.4,5.5,2.1,18.8,2.1,92.9,12.2,18.1,-1.0,-5.8,0.8,0.00474133055,-0.0002688599586,0.007278823254
823790,"McCausland, Will",CU,4,106.7,82.8,-5.9,-3.0,2268.7,5.8,5.4,0.7,-3.0,0.7,91.3,18.7,8.4,-8.5,-24.5,-11.4,0.008965027662,0.003888304697,0.007566709219
1000110608,"Morris, Mason",FC,14,106.1,89.0,4.6,-0.3,2513.8,5.7,6.3,1.3,-0.3,1.3,93.7,17.0,8.8,-4.6,-12.3,-9.1,0.01590002449,0.0112930747,0.007585897596
1000146120,"Spencer, Connor",4S,20,105.9,95.1,19.9,0.5,2269.7,6.0,6.1,1.9,0.5,1.9,92.3,20.0,-3.4,2.9,0.0,3.9,0.007120296419,0.002817387541,0.007336215724
1000211056,"Calhoun, Hudson",CH,31,105.7,85.1,7.4,13.4,1580.1,6.0,5.7,1.8,13.4,1.8,92.6,16.5,11.4,-7.5,-9.1,2.0,0.01112497183,0.005730213941,0.009439826184
702494,"Tookoian, Sam",SL,64,105.6,85.3,3.0,-5.5,2647.0,5.6,6.1,2.5,-5.5,2.5,92.8,17.1,3.3,-7.6,-14.0,-8.9,0.01183229808,0.007413182025,0.007873758574
1000211056,"Calhoun, Hudson",CU,1,105.2,79.3,-8.1,-16.4,2357.3,4.5,5.9,1.5,-16.4,1.5,92.6,16.5,11.4,-13.3,-24.7,-27.8,0.007786750005,0.003888304697,0.007566709219
1000134889,"Townsend, Cade",4S,85,104.7,93.7,18.7,7.0,2301.6,6.0,5.9,2.0,7.0,2.0,93.7,18.7,7.0,0.0,0.0,0.0,0.006246543463,0.002817387541,0.007336215724
1000110608,"Morris, Mason",SI,22,104.6,92.9,10.3,15.8,2105.4,6.1,6.2,1.4,15.8,1.4,93.7,17.0,8.8,-0.7,-6.7,7.0,0.00310662768,-0.0002688599586,0.007278823254
823790,"McCausland, Will",4S,40,104.5,91.3,18.7,8.4,2281.0,6.2,5.3,1.0,8.4,1.0,91.3,18.7,8.4,0.0,0.0,0.0,0.006090571995,0.002817387541,0.007336215724
1000146120,"Johnson, Cooper",SL,1,104.2,75.9,-5.3,1.4,2255.9,5.6,5.9,-2.9,1.4,-2.9,92.3,20.0,-3.4,-16.3,-25.3,4.8,0.01071380856,0.007413182025,0.007873758574
10071271,"Robertson, Jon Paul",SL,72,103.9,83.1,1.0,-7.4,2438.3,5.8,5.6,2.5,-7.4,2.5,90.4,16.5,4.3,-7.3,-15.5,-11.7,0.01051945223,0.007413182025,0.007873758574
1000134889,"Townsend, Cade",FC,85,103.9,87.2,3.0,-4.8,2733.6,5.7,5.8,2.1,-4.8,2.1,93.7,18.7,7.0,-6.5,-15.6,-11.8,0.01427650922,0.0112930747,0.007585897596
1000165662,"Mattox, Hudson ",CU,1,103.6,76.5,-2.8,2.3,2020.7,4.7,6.0,0.9,2.3,0.9,87.0,21.6,9.9,-10.5,-24.4,-7.6,0.00661624899,0.003888304697,0.007566709219
10148256,"Stinnett, Brady",SL,15,103.3,78.0,6.3,-13.4,2422.0,6.3,5.3,1.8,-13.4,1.8,87.3,14.3,6.8,-9.3,-8.0,-20.2,0.01002780456,0.007413182025,0.007873758574
10123181,"Hancock, Owen",SL,21,103.0,82.8,0.3,-6.6,2369.4,5.9,6.1,0.9,-6.6,0.9,94.0,17.8,5.3,-11.2,-17.5,-11.9,0.009770020653,0.007413182025,0.007873758574
1000134889,"Townsend, Cade",FS,2,102.9,87.5,6.2,14.6,1501.0,5.5,5.9,2.5,14.6,2.5,93.7,18.7,7.0,-6.2,-12.5,7.6,0.01145227089,0.008487872503,0.01016383977
1000102891,"Canney, Alex",SL,48,102.7,78.0,2.4,-15.0,2470.4,5.6,5.4,1.9,-15.0,1.9,89.3,15.3,7.8,-11.3,-13.0,-22.8,0.009566228834,0.007413182025,0.007873758574
10009286,"Spencer, Connor",4S,14,102.7,94.3,18.7,1.6,2194.4,6.0,6.1,1.7,1.6,1.7,94.3,18.7,1.6,0.0,0.0,0.0,0.004810491838,0.002817387541,0.007336215724
