PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-01-09,12:59:18,1,1,"Elliott, Hunter",1000066425,Left,OLE_REB,"Humphrey, Isaac",804253,Left,OLE_PRA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.79227,-1.925286,5.304029,2336.514802,139.281388,10:45,5.42407,-2.82928,6.24518,-16.61072,18.20926,-14.59324,2.25575,0.8608,81.04663,-5.129295,2.68417,0.424703,,,,,,,,,,,,9.14768,10.37355,2.4401,50,5.27175,-11.43639,-129.77375,-4.81287,15.43022,29.91649,-14.676,OLE_PRA,OLE_PRA,OleMiss,TeamExclusive,Team,20250109-OleMiss-Private-1,d46379f0-cebb-11ef-8a36-438d8e0853cc,88.75008,,,8.74564,,,,,,,43fb63b3-3829-4504-90c7-c0fe8899bf03,2025-01-09,18:59:18,2025-01-09T12:59:18.4656142-06:00,2025-01-09T18:59:18.4656142Z,,v3,,,,"Roberts, Cruise",1000236474,Right,OLE_PRA,54420e8f-1b6d-4235-85c6-09f69abfdecf,54.25297,-130.7505,14.95825,5.42107,-4.33371,-7.338,2.82171,-11.94018,7.71511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-01-09,12:59:35,1,2,"Elliott, Hunter",1000066425,Left,OLE_REB,"Humphrey, Isaac",804253,Left,OLE_PRA,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.70794,0.995344,1.206302,2375.88341,200.775802,12:45,5.33981,-2.92507,5.75745,-36.55612,5.71918,1.64303,3.2203,-1.66509,74.40656,-5.775091,1.500428,0.467966,,,,,,,,,,,,-0.48854,2.96701,2.82396,50,5.39995,-2.56052,-118.62099,0.88402,-0.69118,24.18599,-27.97643,OLE_PRA,OLE_PRA,OleMiss,TeamExclusive,Team,20250109-OleMiss-Private-1,ddf9da40-cebb-11ef-8a36-438d8e0853cc,80.54519,,,7.30138,,,,,,,43fb63b3-3829-4504-90c7-c0fe8899bf03,2025-01-09,18:59:35,2025-01-09T12:59:34.6072334-06:00,2025-01-09T18:59:34.6072334Z,,v3,,,,"Roberts, Cruise",1000236474,Right,OLE_PRA,d620421f-924b-4503-851d-a4bc0aa27595,54.74419,-119.58439,12.09299,5.34254,1.9984,-13.98821,2.92541,-2.53299,-0.34559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-01-09,12:59:52,1,3,"Elliott, Hunter",1000066425,Left,OLE_REB,"Humphrey, Isaac",804253,Left,OLE_PRA,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.40946,1.710999,3.538707,2078.842222,106.353855,9:30,5.19778,-2.97376,6.17974,-37.16671,7.32244,-19.57536,3.68414,-1.33292,71.63142,-5.257979,0.014666,0.480063,,,,,,,,,,,,11.3319,3.6587,2.71619,50,5.30847,-6.41321,-115.08064,2.36954,14.98052,24.1904,-27.33731,OLE_PRA,OLE_PRA,OleMiss,TeamExclusive,Team,20250109-OleMiss-Private-1,e87ee050-cebb-11ef-8a36-438d8e0853cc,78.51559,,,7.77803,,,,,,,43fb63b3-3829-4504-90c7-c0fe8899bf03,2025-01-09,18:59:52,2025-01-09T12:59:52.1805582-06:00,2025-01-09T18:59:52.1805582Z,,v3,,,,"Roberts, Cruise",1000236474,Right,OLE_PRA,aa517615-d31d-4819-bfe8-e4718fbce0d5,54.3216,-115.98551,12.0952,5.20072,3.39211,-13.66866,2.96656,-6.97357,7.49026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-01-09,13:00:12,1,4,"Elliott, Hunter",1000066425,Left,OLE_REB,"Humphrey, Isaac",804253,Left,OLE_PRA,Undefined,1,Top,0,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.71678,2.608831,1.187837,2545.261955,246.446409,2:15,5.46515,-2.92502,5.61984,-39.46321,4.01146,6.05327,4.61348,-1.31186,73.57611,-4.66971,2.267385,0.474558,38.6007,-7.036377,-160.663236,4153.963604,,,,21.30879,18.71881,-163.971144,0.401134,-2.72788,1.69583,2.81966,50,5.66257,-2.66757,-117.07274,4.0281,-3.77676,22.60242,-29.82616,OLE_PRA,OLE_PRA,OleMiss,TeamExclusive,Team,20250109-OleMiss-Private-1,f4133380-cebb-11ef-8a36-438d8e0853cc,79.42635,4.47651,,7.14067,,,,0.09529,4.47651,1.28896,43fb63b3-3829-4504-90c7-c0fe8899bf03,2025-01-09,19:00:12,2025-01-09T13:00:11.5401998-06:00,2025-01-09T19:00:11.5401998Z,GroundBall,v3,,,,"Roberts, Cruise",1000236474,Right,OLE_PRA,5ae181d8-126a-4c7a-ba91-f934a1d3cfb6,54.88042,-118.0112,11.30121,5.46961,5.2665,-14.91308,2.92716,-2.51076,-1.88838,176.298752,0.09255,-52.92721,4.10567,,,,,,,4.47733,-6.96087,-10.47786,,,,,,,1.28789,-18.56918,1.7281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-01-09,13:00:39,1,5,"Elliott, Hunter",1000066425,Left,OLE_REB,"Humphrey, Isaac",804253,Left,OLE_PRA,Undefined,1,Top,0,3,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.04439,-0.953287,3.477877,2343.272717,134.363881,10:30,5.45484,-2.56378,6.34731,-18.96414,16.20414,-15.2678,2.99523,-0.63054,80.22901,-4.600019,0.720169,0.426822,52.1275,18.676584,-1.560507,2351.202859,,,,112.1508,112.1508,-6.562146,1.810026,9.06512,9.10729,2.31773,50,5.3765,-7.23158,-129.07429,-2.66517,15.06774,30.5583,-17.0362,OLE_PRA,OLE_PRA,OleMiss,TeamExclusive,Team,20250109-OleMiss-Private-1,046276b0-cebc-11ef-8a36-438d8e0853cc,88.30948,12.9411,,8.81539,,,,0.36615,2.89718,0.61837,43fb63b3-3829-4504-90c7-c0fe8899bf03,2025-01-09,19:00:39,2025-01-09T13:00:38.9601550-06:00,2025-01-09T19:00:38.9601550Z,GroundBall,v3,,,,"Roberts, Cruise",1000236474,Right,OLE_PRA,546b382e-abb7-482f-82e8-de4661683b29,54.152,-130.05356,15.27915,5.45316,-2.11924,-8.5181,2.55721,-7.71444,7.53387,127.884448,0.36615,72.40074,-8.33369,1.65476,-0.30264,0.05026,-0.00991,0.00224,-0.00026,2.89718,24.48239,-15.40401,0.6383,-0.07007,0.00805,0.00302,-0.00067,2.00E-05,0.61837,-1.97239,-4.27506,0.98696,-0.21628,0.04294,-0.00928,0.00198,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-01-09,13:01:06,2,1,"Elliott, Hunter",1000066425,Left,OLE_REB,"Federico, Hayden",10095498,Right,OLE_PRA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.81871,0.982632,3.923165,2265.550021,135.705635,10:30,5.439,-2.70693,6.22877,-18.4621,16.14253,-14.58922,4.80932,-0.29739,81.07081,-2.559243,1.297379,0.423388,,,,,,,,,,,,8.66016,8.38079,2.41992,50,5.50321,-8.30344,-130.12317,1.72824,14.71525,29.58806,-17.93353,OLE_PRA,OLE_PRA,OleMiss,TeamExclusive,Team,20250109-OleMiss-Private-1,1481f750-cebc-11ef-8a36-438d8e0853cc,89.02577,,,8.7479,,,,,,,43fb63b3-3829-4504-90c7-c0fe8899bf03,2025-01-09,19:01:06,2025-01-09T13:01:06.0108046-06:00,2025-01-09T19:01:06.0108046Z,,v3,,,,"Roberts, Cruise",1000236474,Right,OLE_PRA,09b9a392-49ab-45c2-b8d0-49d845fbf789,54.26883,-131.09025,14.79403,5.43715,2.3144,-8.96677,2.69917,-8.7844,7.35763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-01-09,13:01:24,2,2,"Elliott, Hunter",1000066425,Left,OLE_REB,"Federico, Hayden",10095498,Right,OLE_PRA,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.20541,0.534278,3.891094,2268.997758,135.912737,10:30,5.44207,-2.48378,6.44822,-17.46631,16.44812,-14.82946,4.47859,-0.13892,81.68109,-2.831864,1.210469,0.419145,,,,,,,,,,,,8.83548,8.74662,2.21343,50,5.47186,-8.28919,-130.79805,0.76727,15.20649,29.26911,-17.12047,OLE_PRA,OLE_PRA,OleMiss,TeamExclusive,Team,20250109-OleMiss-Private-1,1f56f220-cebc-11ef-8a36-438d8e0853cc,89.92708,,,8.52432,,,,,,,43fb63b3-3829-4504-90c7-c0fe8899bf03,2025-01-09,19:01:24,2025-01-09T13:01:24.2714382-06:00,2025-01-09T19:01:24.2714382Z,,v3,,,,"Roberts, Cruise",1000236474,Right,OLE_PRA,d33f8108-39a7-4309-9d15-654283e8817e,54.05053,-131.70133,14.63456,5.44003,1.29563,-8.56023,2.47649,-8.75848,7.60325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-01-09,13:01:43,2,3,"Elliott, Hunter",1000066425,Left,OLE_REB,"Federico, Hayden",10095498,Right,OLE_PRA,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.5703,-0.413524,3.996576,2222.82465,138.538681,10:30,5.48156,-2.56545,6.48225,-17.78005,16.61682,-13.64371,3.61925,-0.02677,81.11003,-3.840144,1.528943,0.422115,,,,,,,,,,,,8.26693,9.13808,2.28931,50,5.44425,-8.51806,-129.84926,-1.39714,14.00762,29.11009,-16.69031,OLE_PRA,OLE_PRA,OleMiss,TeamExclusive,Team,20250109-OleMiss-Private-1,2a4bd100-cebc-11ef-8a36-438d8e0853cc,89.29422,,,8.46027,,,,,,,43fb63b3-3829-4504-90c7-c0fe8899bf03,2025-01-09,19:01:43,2025-01-09T13:01:42.5708302-06:00,2025-01-09T19:01:42.5708302Z,,v3,,,,"Roberts, Cruise",1000236474,Right,OLE_PRA,bef729b1-74c8-4d96-93f5-e5a1d5c3f4e0,54.01601,-130.74648,14.55504,5.47938,-0.88272,-8.34515,2.5585,-8.9498,7.00381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-01-09,13:02:02,2,4,"Elliott, Hunter",1000066425,Left,OLE_REB,"Federico, Hayden",10095498,Right,OLE_PRA,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.38529,-0.621807,4.366727,2293.708862,138.277119,10:30,5.41898,-2.67562,6.48691,-18.06918,16.60568,-13.71705,3.34063,0.19829,80.69834,-4.107631,1.88751,0.423817,,,,,,,,,,,,8.46252,9.21319,2.37373,50,5.36696,-9.33108,-129.47948,-1.87302,14.20995,29.77967,-16.70364,OLE_PRA,OLE_PRA,OleMiss,TeamExclusive,Team,20250109-OleMiss-Private-1,35f97890-cebc-11ef-8a36-438d8e0853cc,88.93556,,,8.68695,,,,,,,43fb63b3-3829-4504-90c7-c0fe8899bf03,2025-01-09,19:02:02,2025-01-09T13:02:02.2534926-06:00,2025-01-09T19:02:02.2534926Z,,v3,,,,"Roberts, Cruise",1000236474,Right,OLE_PRA,f44069da-2642-41ef-b55b-d70613bf30f3,54.01104,-130.39874,14.88983,5.41682,-1.3574,-8.35182,2.66853,-9.76972,7.10498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-01-09,13:02:20,2,5,"Elliott, Hunter",1000066425,Left,OLE_REB,"Federico, Hayden",10095498,Right,OLE_PRA,Undefined,1,Top,1,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.60098,-0.465873,4.980423,2156.283612,110.659922,9:45,5.28981,-2.90354,5.9588,-32.68376,9.02138,-19.81544,2.1325,0.07541,74.38918,-6.575888,1.434577,0.4648,,,,,,,,,,,,11.69969,5.23906,2.51779,50,5.23471,-9.61177,-119.41459,-1.99031,16.62693,26.38464,-24.7286,OLE_PRA,OLE_PRA,OleMiss,TeamExclusive,Team,20250109-OleMiss-Private-1,40881b90-cebc-11ef-8a36-438d8e0853cc,81.09386,,,8.2118,,,,,,,43fb63b3-3829-4504-90c7-c0fe8899bf03,2025-01-09,19:02:20,2025-01-09T13:02:19.7569806-06:00,2025-01-09T19:02:19.7569806Z,,v3,,,,"Roberts, Cruise",1000236474,Right,OLE_PRA,4e3fce4f-8d44-4a58-a8a6-891b24977ef3,54.53973,-120.41346,13.19232,5.29235,-1.05412,-12.3643,2.89359,-10.24123,8.31346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
