Date,playerId,playerFullName,PitchType,Vel,IndVertBrk,HorzBrk,Spin,Extension,RelH (ft),RelS (ft),norm_HorzBrk,norm_RelS,primary_fastball,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,group_mean,group_std,CLASS+
2024-10-12,1000090130,"Galle, Patrick",4S,99.62051,17.44981,6.23882,2274.323375,6.0925,5.7821,1.05841,6.23882,1.05841,4S,95.86347862068966,16.522257931034485,6.555113965517242,3.757031379310334,0.9275520689655146,-0.3162939655172421,0.01164474333020641,0.0028173875412249826,0.007336215723822519,112.03257390634903
2024-10-12,1000090130,"Galle, Patrick",4S,98.6252,12.86591,4.95607,2263.930831,6.20379,5.82134,1.314,4.95607,1.314,4S,95.86347862068966,16.522257931034485,6.555113965517242,2.7617213793103446,-3.6563479310344853,-1.5990439655172413,0.006474270561209643,0.0028173875412249826,0.007336215723822519,104.9846994113189
2024-09-28,1000090130,"Galle, Patrick",4S,98.41778,15.60658,11.39859,2270.097179,6.33308,5.76916,1.81348,11.39859,1.81348,4S,95.86347862068966,16.522257931034485,6.555113965517242,2.5543013793103313,-0.9156779310344856,4.843476034482759,0.005708000402192374,0.0028173875412249826,0.007336215723822519,103.94019610353176
2024-10-19,1000090130,"Galle, Patrick",4S,98.21844,18.74072,11.30406,2316.074451,6.58238,5.81533,1.20428,11.30406,1.20428,4S,95.86347862068966,16.522257931034485,6.555113965517242,2.354961379310339,2.218462068965515,4.748946034482758,0.002931235767005251,0.0028173875412249826,0.007336215723822519,100.15518658401848
2024-09-28,1000090130,"Galle, Patrick",4S,98.10321,16.67631,4.86925,2304.214795,6.30425,5.89944,1.70116,4.86925,1.70116,4S,95.86347862068966,16.522257931034485,6.555113965517242,2.239731379310342,0.15405206896551604,-1.6858639655172416,0.00674876372572305,0.0028173875412249826,0.007336215723822519,105.35886120650993
2024-09-28,1000090130,"Galle, Patrick",4S,97.81905,19.92568,9.60544,2391.434458,6.2423,5.81014,1.87856,9.60544,1.87856,4S,95.86347862068966,16.522257931034485,6.555113965517242,1.9555713793103422,3.403422068965515,3.050326034482758,0.011927360904059334,0.0028173875412249826,0.007336215723822519,112.41781008872462
2024-10-12,1000090130,"Galle, Patrick",4S,97.81745,14.96961,6.21055,2233.212629,6.38625,5.92341,0.93557,6.21055,0.93557,4S,95.86347862068966,16.522257931034485,6.555113965517242,1.9539713793103317,-1.5526479310344854,-0.3445639655172421,0.0076272168665485595,0.0028173875412249826,0.007336215723822519,106.5562812032706
2024-10-19,1000090130,"Galle, Patrick",4S,97.78341,17.2995,8.70374,2254.593932,6.55448,5.80043,1.13867,8.70374,1.13867,4S,95.86347862068966,16.522257931034485,6.555113965517242,1.9199313793103414,0.7772420689655135,2.148626034482758,0.008429476051058704,0.0028173875412249826,0.007336215723822519,107.64984117303132
2024-10-12,1000090130,"Galle, Patrick",4S,97.74226,15.16757,9.14603,2131.094806,6.35395,5.80252,1.19964,9.14603,1.19964,4S,95.86347862068966,16.522257931034485,6.555113965517242,1.8787813793103396,-1.3546879310344853,2.590916034482758,0.006145176685173424,0.0028173875412249826,0.007336215723822519,104.5361113538991
2024-09-28,1000090130,"Galle, Patrick",4S,97.47767,16.80182,7.35126,2276.053372,6.18549,5.84384,1.72533,7.35126,1.72533,4S,95.86347862068966,16.522257931034485,6.555113965517242,1.6141913793103413,0.2795620689655145,0.7961460344827582,0.011778433740908334,0.0028173875412249826,0.007336215723822519,112.21480738439112
2024-11-08,1000090130,"Galle, Patrick",4S,97.22273,17.68796,8.05693,2339.688151,6.37426,5.85273,1.27901,8.05693,1.27901,4S,95.86347862068966,16.522257931034485,6.555113965517242,1.3592513793103365,1.1657020689655155,1.5018160344827578,0.008492804355661401,0.0028173875412249826,0.007336215723822519,107.73616402255855
2024-10-12,1000090130,"Galle, Patrick",4S,97.05399,14.5452,5.2952,2136.699476,6.35553,5.71916,1.3735,5.2952,1.3735,4S,95.86347862068966,16.522257931034485,6.555113965517242,1.1905113793103368,-1.9770579310344853,-1.2599139655172413,0.006181572302750014,0.0028173875412249826,0.007336215723822519,104.58572224178289
